latitude,longitude,location,town,country
24.5,118.13,"('Xiamen', 'China')",Xiamen,China
24.5,118.14,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.51,117.66,"('Zhangzhou Shi', 'China')",Zhangzhou Shi,China
24.51,118.09,"('Xiamen', 'China')",Xiamen,China
24.51,118.13,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.52,109.34,"('Liuzhou', 'China')",Liuzhou,China
24.52,117.62,"('Zhangzhou Shi', 'China')",Zhangzhou Shi,China
24.52,118.05,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.52,118.14,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.53,117.62,"('Zhangzhou Shi', 'China')",Zhangzhou Shi,China
24.53,117.99,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.53,118.1,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.53,118.14,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.53,118.16,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.53,118.17,"('Xiamen', 'China')",Xiamen,China
24.54,114.97,"('Heyuan', 'China')",Heyuan,China
24.55,118.03,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.55,118.24,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.56,117.63,"('Zhangzhou Shi', 'China')",Zhangzhou Shi,China
24.56,118.04,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.57,102.84,"('Yuxi', 'China')",Yuxi,China
24.57,118.04,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.57,118.09,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.57,118.22,"('Xiamen', 'China')",Xiamen,China
24.58,118.02,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.58,118.04,"('Xiamen', 'China')",Xiamen,China
24.58,118.23,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.59,118.57,"('Quanzhou', 'China')",Quanzhou,China
24.59,118.62,"('Quanzhou', 'China')",Quanzhou,China
24.6,117.98,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.6,117.99,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.6,118.1,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.6,118.25,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.6,118.59,"('Quanzhou', 'China')",Quanzhou,China
24.61,109.33,"('Liuzhou', 'China')",Liuzhou,China
24.61,109.54,"('Liuzhou', 'China')",Liuzhou,China
24.61,117.98,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.61,118.08,"('Xiamen', 'China')",Xiamen,China
24.61,118.09,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.61,118.1,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.61,118.54,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.63,118.09,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.63,118.57,"('Quanzhou', 'China')",Quanzhou,China
24.65,102.57,"('Kunming', 'China')",Kunming,China
24.65,102.89,"('Yuxi', 'China')",Yuxi,China
24.65,116.17,"('Meizhou Shi', 'China')",Meizhou Shi,China
24.66,102.59,"('Kunming Shi', 'China')",Kunming Shi,China
24.66,102.91,"('Yuxi', 'China')",Yuxi,China
24.67,105.4,"('Baise', 'China')",Baise,China
24.67,116.15,"('Meizhou', 'China')",Meizhou,China
24.67,118.21,"('Xiamen', 'China')",Xiamen,China
24.67,118.25,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.67,118.58,"('Quanzhou', 'China')",Quanzhou,China
24.68,118.21,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.69,118.22,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.7,108.08,"('Hechi Shi', 'China')",Hechi Shi,China
24.7,118.61,"('Quanzhou', 'China')",Quanzhou,China
24.71,118.11,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.72,118.49,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.73,110.87,"('Guilin Shi', 'China')",Guilin Shi,China
24.73,118.11,"('Xiamen', 'China')",Xiamen,China
24.73,118.64,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.74,110.49,"('Guilin', 'China')",Guilin,China
24.74,110.87,"('Guilin', 'China')",Guilin,China
24.74,118.55,"('Quanzhou', 'China')",Quanzhou,China
24.74,118.56,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.74,118.64,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.75,118.19,"('Xiamen Shi', 'China')",Xiamen Shi,China
24.78,105.35,"('Baise Shi', 'China')",Baise Shi,China
24.78,117.78,"('Zhangzhou', 'China')",Zhangzhou,China
24.79,105.33,"('Baise Shi', 'China')",Baise Shi,China
24.79,112.38,"('Qingyuan Shi', 'China')",Qingyuan Shi,China
24.8,104.54,"('Qianxinan', 'China')",Qianxinan,China
24.8,112.37,"('Qingyuan', 'China')",Qingyuan,China
24.8,113.56,"('Shaoguan Shi', 'China')",Shaoguan Shi,China
24.8,113.57,"('Shaoguan Shi', 'China')",Shaoguan Shi,China
24.8,118.57,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.81,118.59,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.81,118.72,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.82,111.28,"('Hezhou Shi', 'China')",Hezhou Shi,China
24.82,113.61,"('Shaoguan', 'China')",Shaoguan,China
24.82,118.59,"('Quanzhou', 'China')",Quanzhou,China
24.83,118.57,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.83,118.58,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.83,118.61,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.83,118.62,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.84,113.96,"('Shaoguan', 'China')",Shaoguan,China
24.84,116.92,"('Longyan', 'China')",Longyan,China
24.85,118.62,"('Quanzhou', 'China')",Quanzhou,China
24.86,118.57,"('Quanzhou', 'China')",Quanzhou,China
24.87,118.66,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.87,118.67,"('Quanzhou', 'China')",Quanzhou,China
24.89,102.81,"('Kunming Shi', 'China')",Kunming Shi,China
24.89,102.82,"('Kunming Shi', 'China')",Kunming Shi,China
24.89,118.61,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.9,102.43,"('Kunming', 'China')",Kunming,China
24.9,102.44,"('Kunming', 'China')",Kunming,China
24.9,102.45,"('Kunming', 'China')",Kunming,China
24.9,118.59,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.9,118.61,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.9,118.91,"('Quanzhou', 'China')",Quanzhou,China
24.91,102.47,"('Kunming Shi', 'China')",Kunming Shi,China
24.91,102.82,"('Kunming', 'China')",Kunming,China
24.91,118.61,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.91,118.82,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.92,102.47,"('Kunming Shi', 'China')",Kunming Shi,China
24.92,109.98,"('Guilin', 'China')",Guilin,China
24.92,118.5,"('Quanzhou', 'China')",Quanzhou,China
24.92,118.57,"('Quanzhou', 'China')",Quanzhou,China
24.92,118.6,"('Quanzhou', 'China')",Quanzhou,China
24.93,102.83,"('Kunming', 'China')",Kunming,China
24.93,118.59,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.93,118.6,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.93,118.64,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.93,118.89,"('Quanzhou', 'China')",Quanzhou,China
24.94,102.77,"('Kunming Shi', 'China')",Kunming Shi,China
24.94,118.49,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.94,118.56,"('Quanzhou', 'China')",Quanzhou,China
24.95,102.76,"('Kunming Shi', 'China')",Kunming Shi,China
24.95,102.77,"('Kunming Shi', 'China')",Kunming Shi,China
24.95,102.83,"('Kunming Shi', 'China')",Kunming Shi,China
24.95,102.84,"('Kunming', 'China')",Kunming,China
24.95,118.53,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.96,102.7,"('Kunming', 'China')",Kunming,China
24.96,102.74,"('Kunming', 'China')",Kunming,China
24.96,102.75,"('Kunming Shi', 'China')",Kunming Shi,China
24.96,102.76,"('Kunming', 'China')",Kunming,China
24.96,102.77,"('Kunming Shi', 'China')",Kunming Shi,China
24.96,102.78,"('Kunming Shi', 'China')",Kunming Shi,China
24.96,114.06,"('Shaoguan', 'China')",Shaoguan,China
24.96,118.41,"('Quanzhou', 'China')",Quanzhou,China
24.96,118.44,"('Quanzhou', 'China')",Quanzhou,China
24.96,118.66,"('Quanzhou', 'China')",Quanzhou,China
24.96,118.69,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
24.96,118.83,"('Quanzhou', 'China')",Quanzhou,China
24.97,102.66,"('Kunming Shi', 'China')",Kunming Shi,China
24.97,102.75,"('Kunming Shi', 'China')",Kunming Shi,China
24.97,102.76,"('Kunming Shi', 'China')",Kunming Shi,China
24.97,102.8,"('Kunming Shi', 'China')",Kunming Shi,China
24.97,117.68,"('Quanzhou', 'China')",Quanzhou,China
24.98,102.25,"('Kunming', 'China')",Kunming,China
24.98,102.77,"('Kunming Shi', 'China')",Kunming Shi,China
24.98,102.8,"('Kunming Shi', 'China')",Kunming Shi,China
24.98,112.64,"('Qingyuan', 'China')",Qingyuan,China
24.98,118.82,"('Quanzhou', 'China')",Quanzhou,China
24.98,118.86,"('Quanzhou', 'China')",Quanzhou,China
24.98,118.88,"('Quanzhou', 'China')",Quanzhou,China
24.99,102.73,"('Kunming Shi', 'China')",Kunming Shi,China
24.99,102.78,"('Kunming', 'China')",Kunming,China
24.99,102.79,"('Kunming', 'China')",Kunming,China
24.99,102.8,"('Kunming', 'China')",Kunming,China
24.99,118.5,"('Quanzhou', 'China')",Quanzhou,China
24.99,118.95,"('Quanzhou', 'China')",Quanzhou,China
24.99,118.97,"('Quanzhou', 'China')",Quanzhou,China
24.99,118.98,"('Quanzhou', 'China')",Quanzhou,China
25.0,102.63,"('Kunming', 'China')",Kunming,China
25.0,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.0,102.72,"('Kunming Shi', 'China')",Kunming Shi,China
25.0,102.74,"('Kunming Shi', 'China')",Kunming Shi,China
25.0,102.78,"('Kunming Shi', 'China')",Kunming Shi,China
25.0,102.83,"('Kunming', 'China')",Kunming,China
25.0,107.17,"('Hechi Shi', 'China')",Hechi Shi,China
25.0,118.26,"('Quanzhou', 'China')",Quanzhou,China
25.0,118.37,"('Quanzhou', 'China')",Quanzhou,China
25.01,102.67,"('Kunming Shi', 'China')",Kunming Shi,China
25.01,118.29,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.01,118.78,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.01,118.79,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.02,102.68,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,102.69,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,102.7,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,102.72,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,102.73,"('Kunming', 'China')",Kunming,China
25.02,102.74,"('Kunming Shi', 'China')",Kunming Shi,China
25.02,118.78,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.02,118.79,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.02,118.86,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.02,118.9,"('Quanzhou', 'China')",Quanzhou,China
25.03,102.63,"('Kunming', 'China')",Kunming,China
25.03,102.69,"('Kunming Shi', 'China')",Kunming Shi,China
25.03,102.7,"('Kunming', 'China')",Kunming,China
25.03,102.72,"('Kunming', 'China')",Kunming,China
25.03,102.73,"(None, 'China')",,China
25.03,103.65,"('Qujing Shi', 'China')",Qujing Shi,China
25.03,103.66,"('Qujing Shi', 'China')",Qujing Shi,China
25.03,118.79,"('Quanzhou', 'China')",Quanzhou,China
25.04,102.63,"('Kunming Shi', 'China')",Kunming Shi,China
25.04,102.65,"('Kunming Shi', 'China')",Kunming Shi,China
25.04,102.67,"('Kunming Shi', 'China')",Kunming Shi,China
25.04,102.7,"('Kunming', 'China')",Kunming,China
25.04,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.04,103.66,"('Qujing Shi', 'China')",Qujing Shi,China
25.04,117.04,"('Longyan', 'China')",Longyan,China
25.04,118.8,"('Quanzhou', 'China')",Quanzhou,China
25.04,99.18,"('Baoshan', 'China')",Baoshan,China
25.05,102.66,"('Kunming Shi', 'China')",Kunming Shi,China
25.05,102.74,"('Kunming Shi', 'China')",Kunming Shi,China
25.05,102.75,"('Kunming Shi', 'China')",Kunming Shi,China
25.05,118.19,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.05,118.39,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.05,118.84,"('Quanzhou', 'China')",Quanzhou,China
25.05,118.86,"('Quanzhou', 'China')",Quanzhou,China
25.06,102.67,"('Kunming Shi', 'China')",Kunming Shi,China
25.06,102.7,"('Kunming Shi', 'China')",Kunming Shi,China
25.06,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.06,102.72,"('Kunming Shi', 'China')",Kunming Shi,China
25.06,102.73,"('Kunming Shi', 'China')",Kunming Shi,China
25.06,102.76,"('Kunming', 'China')",Kunming,China
25.06,112.74,"('Chenzhou', 'China')",Chenzhou,China
25.06,114.93,"('Ganzhou', 'China')",Ganzhou,China
25.06,116.42,"('Longyan', 'China')",Longyan,China
25.06,117.03,"('Longyan Shi', 'China')",Longyan Shi,China
25.07,102.68,"('Kunming', 'China')",Kunming,China
25.07,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.07,102.75,"('Kunming Shi', 'China')",Kunming Shi,China
25.08,102.71,"('Kunming Shi', 'China')",Kunming Shi,China
25.08,102.73,"('Kunming', 'China')",Kunming,China
25.08,102.75,"('Kunming', 'China')",Kunming,China
25.08,110.46,"('Guilin', 'China')",Guilin,China
25.08,118.52,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.09,102.67,"('Kunming Shi', 'China')",Kunming Shi,China
25.09,102.7,"('Kunming', 'China')",Kunming,China
25.09,102.73,"('Kunming', 'China')",Kunming,China
25.09,102.75,"('Kunming', 'China')",Kunming,China
25.09,104.9,"('Qianxinan Buyizumiaozuzizhizhou', 'China')",Qianxinan Buyizumiaozuzizhizhou,China
25.09,104.92,"('Qianxinan Buyizumiaozuzizhizhou', 'China')",Qianxinan Buyizumiaozuzizhizhou,China
25.09,116.1,"('Longyan', 'China')",Longyan,China
25.09,117.0,"('Longyan', 'China')",Longyan,China
25.09,117.01,"('Longyan Shi', 'China')",Longyan Shi,China
25.1,102.93,"('Kunming', 'China')",Kunming,China
25.1,104.92,"('Qianxinan', 'China')",Qianxinan,China
25.1,116.98,"('Longyan', 'China')",Longyan,China
25.1,99.16,"('Baoshan', 'China')",Baoshan,China
25.11,114.91,"('Ganzhou', 'China')",Ganzhou,China
25.11,117.0,"('Longyan Shi', 'China')",Longyan Shi,China
25.11,118.46,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.12,102.74,"('Kunming Shi', 'China')",Kunming Shi,China
25.12,117.0,"('Longyan Shi', 'China')",Longyan Shi,China
25.12,118.96,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.12,99.21,"('Baoshan', 'China')",Baoshan,China
25.12,99.22,"('Baoshan', 'China')",Baoshan,China
25.13,104.92,"('Qianxinan', 'China')",Qianxinan,China
25.13,113.34,"('Shaoguan Shi', 'China')",Shaoguan Shi,China
25.13,113.35,"('Shaoguan Shi', 'China')",Shaoguan Shi,China
25.13,117.05,"('Longyan', 'China')",Longyan,China
25.13,118.93,"('Quanzhou', 'China')",Quanzhou,China
25.14,113.35,"('Shaoguan Shi', 'China')",Shaoguan Shi,China
25.14,115.38,"('Ganzhou', 'China')",Ganzhou,China
25.14,117.05,"('Longyan', 'China')",Longyan,China
25.15,102.73,"('Kunming Shi', 'China')",Kunming Shi,China
25.15,104.5,"('Qujing', 'China')",Qujing,China
25.15,104.91,"('Qianxinan', 'China')",Qianxinan,China
25.15,118.47,"('Quanzhou', 'China')",Quanzhou,China
25.15,118.92,"('Quanzhou', 'China')",Quanzhou,China
25.15,119.05,"('Putian', 'China')",Putian,China
25.18,118.29,"('Quanzhou', 'China')",Quanzhou,China
25.19,118.28,"('Quanzhou', 'China')",Quanzhou,China
25.21,114.92,"('Ganzhou', 'China')",Ganzhou,China
25.21,116.81,"('Longyan', 'China')",Longyan,China
25.22,110.05,"('Guilin', 'China')",Guilin,China
25.22,114.92,"('Ganzhou', 'China')",Ganzhou,China
25.23,110.29,"('Guilin Shi', 'China')",Guilin Shi,China
25.24,103.0,"('Kunming', 'China')",Kunming,China
25.24,110.34,"('Guilin Shi', 'China')",Guilin Shi,China
25.25,110.26,"('Guilin', 'China')",Guilin,China
25.26,110.3,"('Guilin Shi', 'China')",Guilin Shi,China
25.26,110.32,"('Guilin Shi', 'China')",Guilin Shi,China
25.26,118.85,"('Putian', 'China')",Putian,China
25.27,110.31,"('Guilin Shi', 'China')",Guilin Shi,China
25.27,111.34,"('Yongzhou', 'China')",Yongzhou,China
25.28,110.3,"('Guilin Shi', 'China')",Guilin Shi,China
25.28,118.26,"('Quanzhou', 'China')",Quanzhou,China
25.29,103.18,"('Kunming', 'China')",Kunming,China
25.29,110.29,"('Guilin Shi', 'China')",Guilin Shi,China
25.29,112.58,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.3,110.29,"('Guilin Shi', 'China')",Guilin Shi,China
25.3,112.6,"('Chenzhou', 'China')",Chenzhou,China
25.31,110.3,"('Guilin Shi', 'China')",Guilin Shi,China
25.31,110.4,"('Guilin', 'China')",Guilin,China
25.33,118.28,"('Quanzhou', 'China')",Quanzhou,China
25.34,118.72,"('Putian Shi', 'China')",Putian Shi,China
25.34,119.17,"('Putian', 'China')",Putian,China
25.37,111.98,"('Yongzhou', 'China')",Yongzhou,China
25.37,118.67,"('Putian', 'China')",Putian,China
25.38,119.12,"('Putian', 'China')",Putian,China
25.39,118.9,"('Putian', 'China')",Putian,China
25.39,119.08,"('Putian Shi', 'China')",Putian Shi,China
25.39,119.31,"('Undefined', 'Undefined')",Undefined,Undefined
25.41,114.9,"('Ganzhou', 'China')",Ganzhou,China
25.42,114.88,"('Ganzhou', 'China')",Ganzhou,China
25.42,119.05,"('Putian', 'China')",Putian,China
25.43,105.2,"('Qianxinan Buyizumiaozuzizhizhou', 'China')",Qianxinan Buyizumiaozuzizhizhou,China
25.43,118.99,"('Putian', 'China')",Putian,China
25.43,119.01,"('Putian Shi', 'China')",Putian Shi,China
25.43,119.85,"('Undefined', 'Undefined')",Undefined,Undefined
25.44,119.0,"('Putian Shi', 'China')",Putian Shi,China
25.45,102.48,"('Kunming', 'China')",Kunming,China
25.45,118.29,"('Quanzhou', 'China')",Quanzhou,China
25.45,119.08,"('Putian', 'China')",Putian,China
25.45,99.26,"('Baoshan', 'China')",Baoshan,China
25.46,119.09,"('Putian Shi', 'China')",Putian Shi,China
25.47,103.8,"('Qujing Shi', 'China')",Qujing Shi,China
25.47,103.81,"('Qujing Shi', 'China')",Qujing Shi,China
25.48,103.8,"('Qujing', 'China')",Qujing,China
25.48,118.25,"('Quanzhou', 'China')",Quanzhou,China
25.48,119.16,"('Putian', 'China')",Putian,China
25.49,118.24,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.49,118.25,"('Quanzhou Shi', 'China')",Quanzhou Shi,China
25.49,119.03,"('Putian', 'China')",Putian,China
25.49,119.04,"('Putian', 'China')",Putian,China
25.5,103.78,"('Qujing Shi', 'China')",Qujing Shi,China
25.5,103.79,"('Qujing Shi', 'China')",Qujing Shi,China
25.5,103.8,"('Qujing Shi', 'China')",Qujing Shi,China
25.5,103.81,"('Qujing Shi', 'China')",Qujing Shi,China
25.5,114.61,"('Ganzhou', 'China')",Ganzhou,China
25.5,118.22,"(None, 'China')",,China
25.51,103.79,"('Qujing Shi', 'China')",Qujing Shi,China
25.51,103.8,"('Qujing Shi', 'China')",Qujing Shi,China
25.51,111.58,"('Yongzhou Shi', 'China')",Yongzhou Shi,China
25.51,111.59,"('Yongzhou Shi', 'China')",Yongzhou Shi,China
25.51,117.99,"('Quanzhou', 'China')",Quanzhou,China
25.51,119.52,"('Fuzhou', 'China')",Fuzhou,China
25.51,119.79,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
25.52,103.82,"('Qujing Shi', 'China')",Qujing Shi,China
25.52,111.58,"('Yongzhou', 'China')",Yongzhou,China
25.53,103.79,"('Qujing', 'China')",Qujing,China
25.53,111.59,"('Yongzhou Shi', 'China')",Yongzhou Shi,China
25.54,111.59,"('Yongzhou Shi', 'China')",Yongzhou Shi,China
25.56,103.82,"('Qujing Shi', 'China')",Qujing Shi,China
25.59,112.37,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.59,119.48,"('Fuzhou', 'China')",Fuzhou,China
25.6,100.21,"('Dali Baizuzizhizhou', 'China')",Dali Baizuzizhizhou,China
25.6,115.8,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.61,103.82,"('Qujing Shi', 'China')",Qujing Shi,China
25.61,103.86,"('Qujing', 'China')",Qujing,China
25.61,110.67,"('Guilin Shi', 'China')",Guilin Shi,China
25.61,119.41,"('Fuzhou', 'China')",Fuzhou,China
25.62,110.67,"('Guilin Shi', 'China')",Guilin Shi,China
25.65,102.28,"('Chuxiong', 'China')",Chuxiong,China
25.66,102.28,"('Chuxiong', 'China')",Chuxiong,China
25.66,116.73,"('Longyan', 'China')",Longyan,China
25.68,104.45,"('Liupanshui', 'China')",Liupanshui,China
25.68,114.78,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.68,119.38,"('Fuzhou', 'China')",Fuzhou,China
25.69,100.16,"('Dali Baizuzizhizhou', 'China')",Dali Baizuzizhizhou,China
25.69,114.78,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.7,100.16,"('Dali Baizuzizhizhou', 'China')",Dali Baizuzizhizhou,China
25.7,100.17,"('Dali', 'China')",Dali,China
25.7,104.27,"('Qujing', 'China')",Qujing,China
25.7,119.52,"('Fuzhou', 'China')",Fuzhou,China
25.71,100.16,"('Dali', 'China')",Dali,China
25.71,100.17,"('Dali', 'China')",Dali,China
25.71,116.75,"('Longyan Shi', 'China')",Longyan Shi,China
25.71,119.31,"('Fuzhou', 'China')",Fuzhou,China
25.71,119.34,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
25.73,104.27,"('Qujing', 'China')",Qujing,China
25.73,110.6,"('Guilin', 'China')",Guilin,China
25.73,113.04,"('Chenzhou', 'China')",Chenzhou,China
25.73,119.36,"('Fuzhou', 'China')",Fuzhou,China
25.73,119.37,"('Fuzhou', 'China')",Fuzhou,China
25.74,111.43,"('Yongzhou', 'China')",Yongzhou,China
25.74,119.36,"('Fuzhou', 'China')",Fuzhou,China
25.77,100.15,"('Dali', 'China')",Dali,China
25.78,113.08,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.79,113.06,"('Chenzhou', 'China')",Chenzhou,China
25.79,114.53,"('Ganzhou', 'China')",Ganzhou,China
25.8,114.88,"('Ganzhou', 'China')",Ganzhou,China
25.82,100.14,"('Dali', 'China')",Dali,China
25.82,113.02,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.82,114.93,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.82,119.57,"('Fuzhou', 'China')",Fuzhou,China
25.83,113.02,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.83,114.94,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.85,114.89,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.85,116.35,"('Longyan', 'China')",Longyan,China
25.85,117.62,"('Sanming', 'China')",Sanming,China
25.86,100.13,"('Dali Baizuzizhizhou', 'China')",Dali Baizuzizhizhou,China
25.86,104.85,"('Liupanshui', 'China')",Liupanshui,China
25.86,115.02,"('Ganzhou Shi', 'China')",Ganzhou Shi,China
25.86,118.94,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
25.86,119.52,"('Fuzhou', 'China')",Fuzhou,China
25.88,119.34,"('Fuzhou', 'China')",Fuzhou,China
25.92,114.94,"('Ganzhou', 'China')",Ganzhou,China
25.92,119.63,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
25.93,113.23,"('Chenzhou', 'China')",Chenzhou,China
25.94,108.47,"('Qiandongnan', 'China')",Qiandongnan,China
25.94,111.06,"('Guilin Shi', 'China')",Guilin Shi,China
25.94,114.95,"('Ganzhou', 'China')",Ganzhou,China
25.95,111.04,"('Guilin Shi', 'China')",Guilin Shi,China
25.97,113.23,"('Chenzhou Shi', 'China')",Chenzhou Shi,China
25.97,117.36,"('Sanming Shi', 'China')",Sanming Shi,China
25.97,119.22,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
25.98,118.66,"('Fuzhou', 'China')",Fuzhou,China
25.98,119.62,"('Fuzhou', 'China')",Fuzhou,China
25.99,104.91,"('Liupanshui', 'China')",Liupanshui,China
25.99,107.87,"('Qiannan Buyizumiaozuzizhizhou', 'China')",Qiannan Buyizumiaozuzizhizhou,China
25.99,119.21,"('Fuzhou', 'China')",Fuzhou,China
26.0,117.3,"('Sanming', 'China')",Sanming,China
26.0,117.36,"('Sanming Shi', 'China')",Sanming Shi,China
26.01,119.29,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.02,119.34,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.02,119.4,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.03,117.33,"('Sanming', 'China')",Sanming,China
26.03,119.27,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.03,119.33,"('Fuzhou', 'China')",Fuzhou,China
26.04,105.66,"('Anshun', 'China')",Anshun,China
26.04,119.28,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.04,119.34,"('Fuzhou', 'China')",Fuzhou,China
26.05,105.76,"('Anshun', 'China')",Anshun,China
26.05,105.77,"('Anshun', 'China')",Anshun,China
26.05,115.58,"('Ganzhou', 'China')",Ganzhou,China
26.05,119.25,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.05,119.32,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,105.77,"('Anshun', 'China')",Anshun,China
26.06,105.81,"('Anshun', 'China')",Anshun,China
26.06,119.19,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.24,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.28,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.3,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.31,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.32,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.06,119.33,"('Fuzhou', 'China')",Fuzhou,China
26.07,105.76,"('Anshun', 'China')",Anshun,China
26.07,105.77,"('Anshun', 'China')",Anshun,China
26.07,119.25,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.07,119.29,"('Fuzhou', 'China')",Fuzhou,China
26.07,119.3,"('Fuzhou', 'China')",Fuzhou,China
26.07,119.31,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.07,119.32,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.07,119.34,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
26.07,119.35,"('Fuzhou Shi', 'China')",Fuzhou Shi,China
